normalTime ,criticalTime ,miscTime ,totTime  ,borderSize ,Intersect Border - Length: 53.041631 ,Find Concave Points ,Visibility Graph Init ,A* Search
         0 ,    0.743399 ,       0 ,0.743399 ,  68.2843  ,                            0.081304 ,           0.000782 ,             0.000696 , 0.660617
         0 ,    0.227314 ,       0 ,0.227314 ,  68.2843  ,                            0.058298 ,           0.000695 ,             0.000533 , 0.167788
         0 ,    0.225031 ,       0 ,0.225031 ,  57.8701  ,                            0.075156 ,           0.00058  ,             0.000463 , 0.148832
         0 ,    0.58921  ,       0 ,0.58921  ,  63.9411  ,                            0.090691 ,           0.00088  ,             0.000817 , 0.496822
         0 ,    1.15604  ,       0 ,1.15604  ,  82.4264  ,                            0.081544 ,           0.000837 ,             0.000505 , 1.07315
         0 ,    0.307092 ,       0 ,0.307092 ,  95.6985  ,                            0.094759 ,           0.000565 ,             0.000429 , 0.211339
         0 ,    0.139589 ,       0 ,0.139589 ,  38.799   ,                            0.059276 ,           0.000429 ,             0.000385 , 0.079499
         0 ,    0.12624  ,       0 ,0.12624  ,  38.5563  ,                            0.055706 ,           0.000463 ,             0.000274 , 0.069797
         0 ,    0.521515 ,       0 ,0.521515 ,  63.5269  ,                            0.068865 ,           0.000623 ,             0.000984 , 0.451043
         0 ,    0.123498 ,       0 ,0.123498 ,  27.7279  ,                            0.052685 ,           0.000524 ,             0.000532 , 0.069757
         0 ,    0.721142 ,       0 ,0.721142 ,  67.5269  ,                            0.079223 ,           0.00083  ,             0.000648 , 0.640441
         0 ,    0.202843 ,       0 ,0.202843 ,  55.799   ,                            0.059186 ,           0.000519 ,             0.000275 , 0.142863
         0 ,    0.484965 ,       0 ,0.484965 ,  76.1838  ,                            0.068053 ,           0.000716 ,             0.000448 , 0.415748
         0 ,    0.116799 ,       0 ,0.116799 ,  33.7279  ,                            0.047376 ,           0.000442 ,             0.000396 , 0.068585
         0 ,    1.68586  ,       0 ,1.68586  ,  93.7401  ,                            0.08743  ,           0.001104 ,             0.000636 , 1.59669
         0 ,    0.456326 ,       0 ,0.456326 ,  71.3553  ,                            0.091597 ,           0.001005 ,             0.001191 , 0.362533
         0 ,    0.290348 ,       0 ,0.290348 ,  66.6985  ,                            0.075317 ,           0.000592 ,             0.00046  , 0.213979
         0 ,    0.265304 ,       0 ,0.265304 ,  43.1421  ,                            0.054421 ,           0.000701 ,             0.000374 , 0.209808
         0 ,    0.583775 ,       0 ,0.583775 ,  75.1127  ,                            0.090214 ,           0.000671 ,             0.000361 , 0.492529
         0 ,    0.600351 ,       0 ,0.600351 ,  78.5269  ,                            0.10016  ,           0.000811 ,             0.00063  , 0.49875
         0 ,    0.104713 ,       0 ,0.104713 ,  33.9706  ,                            0.037855 ,           0.00045  ,             0.00084  , 0.065568
         0 ,    1.58438  ,       0 ,1.58438  ,  90.0122  ,                            0.076358 ,           0.000718 ,             0.000509 , 1.50679
         0 ,    0.185478 ,       0 ,0.185478 ,  63.7279  ,                            0.081496 ,           0.000518 ,             0.001218 , 0.102246
         0 ,    0.153011 ,       0 ,0.153011 ,  44.799   ,                            0.065968 ,           0.000565 ,             0.000401 , 0.086077
         0 ,    0.394438 ,       0 ,0.394438 ,  66.1127  ,                            0.102404 ,           0.000858 ,             0.000544 , 0.290632
